id,name,definition_line,reference_lines
11509,CG_COMPOSITE_PET_SHOP,22044,22044;60588
11510,CG_COMPOSITE_PET_GRADE,22045,22045;31876;60922
11511,CG_COMPOSITE_PET_DO,22046,22046;31877;60742
11512,CG_COMPOSITE_PET_CONFIRM,22047,22047;31879;60867
11513,CG_COMPOSITE_PET_PROMPTLY,22048,22048;31878;60792
11514,CG_FURNACE_OPEN_SHOP,22049,22049;31884;87300
11515,CG_FURNACE_REFINE,22050,22050;31885;87523
11516,CG_FURNACE_INC_TOTAL_REFINE_NUM,22051,22051;31886;87634
11517,CG_FURNACE_BUY_CRAFTSMAN,22052,22052;31887;87432
11518,CG_FURNACE_LIST_ITEMINFO,22053,22053;31888;87666
11519,CG_ENCHANTS_ADD,22054,22054;62835;108084
11520,CG_ENCHANTS_EQUAL_SELF,22055,22055;63035;108284
11521,CG_ENCHANTS_GETLIST,22056,22056;62925;108174
11522,CG_ENCHANTSHOP_START,22057,19861;22057
11523,CG_ENCHANTSHOP_STOP,22058,19898;22058;163445;163852
11524,CG_ENCHANTSHOP_BUY,22059,22059;63153;108402
11525,CG_ENCHANTSHOP_LIST,22060,19906;22060
11526,CG_ENCHANTSHOP_SELLRECORD,22061,19925;22061
11527,CG_EQUIPMENT_UPGRADE,22062,22062;91105
11528,CG_ADVANCE_STAR,22063,9629;22063
11529,CG_COMPOSITE_DOS,22043,22043;90872
11530,CG_ILLUSION_LIST,22223,22223;126971
12001,CG_ACTOR_PLAYERBAG,22155,11130;20718;22155
12003,CG_BAG_CLEAN,22199,20738;22199;126695
12004,CG_ITEMSHOP_LIST,22200,19833;22200
12005,CG_ITEMSHOP_BUY,22201,19838;22201;50834
12006,CG_ITEMSHOP_SELL,22202,19410;22202;51004
12007,CG_PLAYERSHOP_START,22203,19878;22203
12008,CG_PLAYERSHOP_STOP,22204,19894;22204;163440;163812
12010,CG_PLAYERSHOP_LIST_GOODS,22205,19902;22205
12011,CG_PLAYERSHOP_BUY,22206,19911;22206
12012,CG_PLAYERSHOP_SELLRECORD,22207,19921;22207
12013,CG_PLAYERSHOP_SELL_NOTIFY,22208,22208;163450
12014,CG_PLAYERSHOP_SHOP_NOTIFY,22209,22209;163435
12015,CG_BAG_CHECKUP_ASK,22210,19399;22210;128079
12016,CG_ITEMTYPE_GETINFO,22211,20105;22211;31893
12017,CG_STORAGE_LIST,22212,20051;22212;31853
12018,CG_STORAGE_OPER,22213,20067;20071;22213;31829
12019,CG_BAG_REPAIR,22214,11026;13169;22214;31833
12020,CG_ITEMSHOP_LIST_SCORE,22215,8770;20141;22215;31799
12021,CG_ITEMSHOP_BUY_SCORE,22216,20145;22216;163687
12022,CG_ITEM_PET_ADD_SKILL,22217,9169;22217;31826
12023,CG_BAG_REPAIR_BY_TEAM,22218,22218
12024,CG_STORAGE_LIST_VIP,22219,20055;22219;31870
12025,CG_STORAGE_OPER_VIP,22220,20077;20081;22220;31871
12026,CG_STORAGE_CLEAN,22221,22221;48704
12027,CG_EQUIP_TASK_GET_ITEM,22222,22222;126675
12029,CG_GET_AWARD_ITEM,22224,22224;31880
12030,CG_GET_RANDOM_NPC_AWARD,22225,22225;31881
12031,CG_USE_TASK_GET_PET,22226,22226
12032,CG_USE_NEW_GET_PET,22227,22227;128726;128729
12033,CG_USE_NEW_GET_RIDE,22228,22228
12034,CG_GET_PET,22229,22229;128681;128684
12035,CG_GET_RIDE,22230,22230
12036,CG_GET_AUTO_SELL_LIST,22231,22231;163429;163461
12037,CG_AUTO_SELL,22232,22232;163433;163497
12039,CG_CHEST_USE_HIGH_KEY,22233,10941;22233
12040,CG_IDENTIFY_USE_HIGH_KEY,22234,11334;22234
12041,CG_IDENTIFY_GET_LIST,22235,22235;48771;48829;48887
12042,CG_TURN_MONSTER_CARD,22102,22102;71841
12043,CG_TURN_MONSTER_NOTIFY,22103,22103
12044,CG_MOBILE_TRAFFIC_CARD,22104,22104
12049,CG_ACTOR_COMBATPOWER,22236,22236;88539
12050,CG_STORAGE_LIST_HIGH_VIP,22237,20063;22237;31872
12051,CG_STORAGE_OPER_HIGH_VIP,22238,20087;20091;22238;31873
12052,CG_PLAYER_MAX_VIP,22239,20059;22239
12053,CG_STORAGE_LIST_MOVEWAREHOUSE,22591,22591
12054,CG_STORAGE_BAG_MOVE,22592,22592
12055,CG_STORAGE_OPER_MOVE,22593,22593
12056,CG_STORAGE_OPER_MOVE_VIP,22594,22594
12057,CG_STORAGE_OPER_MOVE_HIGH_VIP,22595,22595
12058,CG_BAG_SIZE,22627,22627;126670
12059,CG_ALL_EQUIP,22628,22628;126834
12060,CG_EQUIP_IDENTIFY_ATTR,22630,21817;22630
12061,CG_PET_EQUIP_LV_INFO,22631,21821;22631
12062,CG_BOX_CHOOSE_ONE_INFO,22164,22164;48635
12063,CG_BOX_CHOOSE_ONE_CONFIRM,22165,22165;145656
12100,CG_PUSH_GAIN_ITEM_INFO,22600,22600;126690
12501,CG_FIGHT_ENTER_LOCALBATTEL,22240,19352;22240
12502,CG_FIGHT_RUN_LOCALBATTLE,22241,22241;104709;131727
12503,CG_FIGHT_ENTER_REMOTEBATTLE,22243,19356;22243;131731
12504,CG_FIGHT_ENTER_BATTLE_NOTIFY,22244,22244;131739
12505,CG_FIGHT_BATTLE_DOPLAN,22245,19368;22245
12506,CG_FIGHT_BATTLE_UPDATE,22246,19391;22246;131743
12507,CG_FIGHT_PK_ASK,22248,20281;22248;131754
12508,CG_FIGHT_SEE_IN,22249,19360;22249;131735
12509,CG_FIGHT_SEE_OUT,22250,19364;22250;131751
12510,CG_FIGHT_ENTER_PLAYER_REMOTEBATTLE,22254,22254;171364;171525
12511,CG_FIGHT_ENTER_PLAYER_REMOTEBATTLE_LIST,22255,22255;171369;171509
12512,CG_FIGHT_ENTER_PLAYER_BATTLE_NOTIFY_LIST,22256,22256;171374
12513,CG_FIGHT_ENTER_PLAYER_DATA,22257,22257;171379;171461
12514,CG_FIGHT_ENTER_PLAYER_REMOTEBATTLE_EXIT,22258,22258;171384;171442
12515,CG_FIGHT_ENTER_PLAYER_EXIT_NOTIFY,22259,22259;171389
12516,CG_FIGHT_ENTER_PLAYER_NOTIFY,22260,22260;171394;171400
12517,CG_FIGHT_ENTER_COMPTITION,22261,22261
12518,CG_FIGHT_EXIT_COMPTITION,22262,22262
12519,CG_FIGHT_SAVE_ADJUST,22263,22263
12520,CG_FIGHT_SHOW_RANK,22264,22264
12521,CG_FIGHT_ADD_FIGHT_COUNT,22265,22265
12522,CG_FIGHT_CREATE_COMPITION,22266,22266
12523,CG_FIGHT_CLEAR_INTERVAL,22267,22267
12524,CG_FIGHT_REFRESH_COMPITION,22268,22268
12525,CG_FIGHT_ACTIVE_COMPITION,22269,22269
12533,CG_FIGHT_RUN_LOCALBATTLE_CESHI,22242,22242;131747
12533,CG_PET_PK_BATTLE_DO_PLAN,22247,19382;22247
12534,CG_OVER_ROUND,22253,22253;131770;132437
12540,CG_FIGHT_GET_CROSSSERVER_MAP_INFO,22607,22607;205312
12541,CG_FIGHT_OPEN_CROSSSERVER_MAP,22608,22608;205343
12542,CG_FIGHT_CREATE_CROSSSERVER_TEAM,22609,22609;205375
12543,CG_FIGHT_ADD_CROSSSERVER_TEAM,22610,22610;205409
12544,CG_FIGHT_LEAVE_CROSSSERVER_TEAM,22611,22611;205440
12545,CG_FIGHT_REFRESH_CROSSSERVER_TEAM,22612,22612;205149;205471
12546,CG_FIGHT_GO_CROSSSERVER_MAP,22613,22613;205508
12547,CG_FIGHT_NOTICE_GO_MAP,22614,22614;205152
12548,CG_FIGHT_GET_CROSSSERVER_TEAM_INFO,22615,22615;205540
12549,CG_FIGHT_DELETE_CROSSSERVER_TEAM_PLAYER,22616,22616;205589
12550,CG_FIGHT_DISBAND_CROSSSERVER_TEAM,22617,22617;205624
12551,CG_FIGHT_PUSH_CROSSSERVER_MAP_INFO,22618,22618;205154
12552,CG_FIGHT_RANDOM_JOIN_CROSSSERVER_TEAM,22619,22619;205658
12553,CG_FIGHT_SET_CROSSSERVER_TEAM_CAPTAIN,22620,22620;205687
12554,CG_FIGHT_ASK_CROSSSERVER_TEAM,22621,8345;22621
12555,CG_CROSSERVER_DUNGEON_AUTO_RECRUIT,22622,22622
12556,CG_CROSSERVER_DUNGEON_SPEAKER_USETIME,22623,22623
12557,CG_CROSSSERVER_DUNGEON_PLAYER_LEAVE,22624,22624
12558,CG_CROSSSERVER_DUNGEON_OPENMAP_CHECKBOX,22625,22625
12559,CG_CROSSSERVER_DUNGEON_OPENMAP_RETURN,22626,22626
13001,CG_MONSTER_BOOK_LIST,22277,21671;22277
13002,CG_MONSTER_BOOK_DETAIL,22278,22278
13101,CG_CLIMB_TOWER_MONSTER,22634,22634;218605;218662
13110,CG_PIONEER_ROLE_INFO,22325,19816;22325;34967
13111,CG_PIONEER_BATTLE_REPLAY,22251,22251;131760;132396
13112,CG_PIONEER_REPLAY_UPDATE,22252,22252;131765;132445
13121,CG_MONSTER_GROUP,22635,22635;141087;141541
13501,CG_TEAM_INVITE,22279,20110;22279;141012
13502,CG_TEAM_JOIN,22283,22283;171974
13503,CG_TEAM_LEAVE,22284,22284;171975
13504,CG_TEAM_CHANGE_CAPTAIN,22285,22285;171981
13505,CG_TEAM_DISBAND,22286,22286;171984
13506,CG_TEAM_SET,22287,21602;22287;33924;33951;33976;34026
13507,CG_TEAM_LEAVE_SELF,22292,20114;22292;171977
13508,CG_TEAM_NEW,22293,22293;171973
13509,CG_CHAT_SUBMIT,22294,19538;22294;134668
13510,CG_CHAT_DOWN_WORLD,22295,22295;134624;134711
13511,CG_CHAT_DOWN_MAP,22296,22296;134629;134716
13512,CG_CHAT_DOWN_COUNTRY,22297,22297;134634;134721
13513,CG_CHAT_DOWN_TEAM,22298,22298;134639;134727;134806;134810
13514,CG_CHAT_DOWN_PRIVATE,22299,22299;134644;134732;134807;134814
13515,CG_CHAT_DOWN_SYSTEM,22300,22300;134649;134692;134758;134822
13516,CG_EXCHANGE_FIND_SELLGOODS,22308,19929;22308
13517,CG_EXCHANGE_BUY_SELLGOODS,22309,19963;22309
13518,CG_EXCHANGE_SUBMIT_SELLGOODS,22310,19948;22310
13519,CG_EXCHANGE_RETRIEVE_SELLGOODS,22311,19959;22311
13520,CG_EXCHANGE_MY_SELLGOODS,22312,19943;22312
13521,CG_EXCHANGE_SUBMIT_PURCHASEGOODS,22313,20010;22313
13522,CG_EXCHANGE_CANCEL_PURCHASEGOODS,22314,20016;22314
13523,CG_EXCHANGE_EXTRACT_PURCHASEGOODS,22315,20022;22315
13524,CG_EXCHANGE_MY_PURCHASEGOODS,22316,19999;22316
13525,CG_EXCHANGE_FIND_PURCHASEGOODS,22317,19967;22317
13526,CG_EXCHANGE_PROVIDE_PURCHASEGOODS,22318,19980;22318
13527,CG_EXCHANGE_AUTOPROVIDE_PURCHASEGOODS,22319,19987;22319
13528,CG_EXCHANGE_PURCHASEGOODS_TYPELIST,22320,20004;22320
13529,CG_RELATION_LIST,22321,19738;22321
13530,CG_RELATION_ADD,22322,19769;22322;31772
13531,CG_RELATION_DELETE,22323,19791;22323;31773
13532,CG_ACTOR_SEE,22324,19795;22324;47691;172810;172906;216168
13533,CG_RELATION_FLY,22327,20289;22327;158181
13534,CG_CHAT_SEE_ITEM,22328,20207;22328;31846
13535,CG_CHAT_SEN_MISSION,22329,20216;22329;31847
13536,CG_RELATION_MASTER_ADD,22330,19783;22330;31849;34116
13537,CG_RELATION_MASTER_DELETE,22331,19787;22331;34158
13538,CG_PARTNER_FLY,22332,20383;22332;31801;158182
13539,CG_RELATION_PARTNER_ADD,22333,20387;22333
13540,CG_RELATION_PARTNER_DELETE,22334,20391;22334;31802
13541,CG_TOP_TYPE_LIST,22336,22336;170013;170029
13542,CG_TOP_DATA_LIST,22337,22337;170018;170062
13543,CG_TOP_ME,22338,22338;170023;170114
13544,CG_MIX_SERVER_ACTIVITY_ACTOR_JOIN,22339,22339;31864;108742
13545,CG_MIX_SERVER_ACTIVITY_ACTOR_CANCEL,22340,22340;31865;108778
13546,CG_MIX_SERVER_ACTIVITY_COUNTRY_JOIN,22341,22341;31866;108814
13547,CG_MIX_SERVER_ACTIVITY_COUNTRY_CANCEL,22342,22342;31867;108850
13548,CG_RELATION_ADD_REMARKS,22343,22343;47925;47929;95935
13549,CG_RELATION_DELETE_REMARKS,22344,22344
13550,CG_CHAT_DOWN_UNION,22301,22301;134654;134761
13551,CG_WEDDING_CARD_CONSULT,22306,22306;108479
13552,CG_WEDDING_CARD_SEND,22307,22307;108528
13553,CG_CHAT_DOWN_BATTLE,22302,22302
13554,CG_CHAT_DOWN_SERVERS,22303,22303;134663;134724
13555,CG_WEDDING_BLESSING,22345,21739;22345
13556,CG_BLESSING,22346,22346;87949
13557,CG_WEDDING_BEFORE,22335,22335;87815
13558,CG_BIG_RED_PACKET,22347,19556;22347;134922;134930;134934
13559,CG_ACTOR_SEE_SA_CROSS,22326,19799;22326;99211
13560,CG_CHAT_CROSS_CHANNEL,22304,22304;134659
13561,CG_TEAM_HELP,22305,21845;22305
14001,CG_SKILL_SHOP_LIST,22348,19510;22348;163566
14002,CG_SKILL_SHOP_LEARN,22349,19524;22349
14003,CG_SKILL_DELETE,22350,19514;22350;45701
14004,CG_SKILL_AUTO_ACTIVE,22351,20756;22351;45821
14005,CG_SKILL_AUTO_INVALID,22352,20757;22352;45823
14006,CG_SKILL_DELETE_BY_LEVEL,22353,19518;22353
14007,CG_SKILL_SCROLL_LEARN,22354,22354;31868;45473;45489
14008,CG_SKILL_SCROLL_LEARN_ASK,22355,22355;31869;45537;45545
14009,CG_SKILL_INITIATIVE_SET,22356,22356;31874;45849;45859
14010,CG_SKILL_INITIATIVE_CLEAN,22357,22357;31875;45884;45894
14011,CG_SKILL_UPDATE,22358,22358;88537
14012,CG_FORMATION_LEARN,22359,22359;45947;45952
14013,CG_FORMATION_FORGET,22360,22360;46031
14014,CG_FORMATION,22361,22361;88543
14015,CG_FORMATION_CHANGE_DEFAULT,22362,22362;45989;45993
14016,CG_SKILL_BOOK_LEARN,22363,22363;31891;46127;46143
14017,CG_SKILL_BOOK_LEARN_ASK,22364,22364;31892;46184;46195
14501,CG_TASK_GETMISSIONDATA,22365,19435;22365;169513
14502,CG_TASK_ACCEPT,22366,21440;22366
14503,CG_TASK_DELIVER,22367,19461;22367
14504,CG_TASK_ABANDON,22368,19465;22368;49778
14505,CG_TASK_NPC_STATUS,22369,22369;169476
14506,CG_TASK_ACCEPT_TEAM,22370,22370;150402
14507,CG_TASK_DELIVER_TEAM,22371,22371;150403
14508,CG_TASK_ESCORT_START,22374,22374;190171
14509,CG_TASK_ESCORT_CANCEL,22375,20241;22375
14510,CG_TASK_ESCORT_MOVE,22376,20229;22376
14511,CG_TASK_ESCORT_REFURBISH,22377,20233;22377;190176
14512,CG_TASK_OFFLINE_LIST,22372,20097;22372
14513,CG_TASK_OFFLINE_ACTIVATE,22373,20101;22373;31895
14514,CG_TASK_ESCORT_CHOICE_EVENT,22378,20237;22378
14515,CG_TASK_ESCORT_LIST,22379,20245;22379
14516,CG_TASK_ESCORT_ROB,22380,20253;22380
14517,CG_TASK_ESCORT_SEE,22381,20257;22381
14518,CG_TASK_TEAM_BOSS_JOIN,22383,20622;22383;190181
14519,CG_TASK_TEAM_BOSS_UPDATE,22384,22384;67117;190186
14520,CG_TASK_TEAM_BOSS_FIGHT,22385,20650;22385;31807
14522,CG_TASK_TEAM_BOSS_EXIT,22386,20646;22386;31806
14523,CG_TASK_TEAM_BOSS_END,22387,22387;190191
14524,CG_TASK_TEAM_BOSS_LEAVE_GRID,22388,20654;22388;31808;190196
14525,CG_TASK_ARENA_JOIN,22389,22389
14526,CG_TASK_ARENA_UPDATE,22390,20550;22390;184207
14527,CG_TASK_ARENA_FIGHT,22391,22391
14528,CG_TASK_ARENA_EXIT,22392,20554;22392;31774;31817
14529,CG_TASK_ARENA_END,22393,22393
14530,CG_TASK_ARENA_LEAVE_GRID,22394,22394
14531,CG_TASK_RANDOM_GET,22421,22421;31819;72588
14532,CG_TASK_RANDOM_FINISH,22422,22422;31820;72637;150378
14533,CG_TASK_RANDOM_CANCEL,22423,22423;31821;72627;150373
